Majority protein IDs,Gene Name,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Q08977,YPL260W,24498.8662795776,24273.2047349575,25143.1903271686,24510.2237899435,23785.4483231362,22952.672270362,28062.1869049826,26980.9948230063,25949.1927397316,27880.5615395218,29372.7904867906,30275.952145131,18591.4400313239,25768.9293167518,23364.3592864948,22123.5987397997,25196.2396002559,25260.6705680299,25745.1829800215,24997.2997680091,25336.9973245061,23094.0865753995,24841.8386950745,21255.1351516922,20705.8667050502,15899.4074112565,22886.840323504
Q12031,ICL2,24274.1776555481,21846.2837395623,22586.5689414975,23044.9045535281,23199.1245298582,24189.1740130536,25101.8540376199,25682.6701454594,23773.2274793077,25833.6534338376,29841.927900095,30432.3606276426,19926.3686465006,29315.938631973,30138.3485625248,35131.4803364502,32956.8543717768,34476.4446366868,26783.5503627131,12184.4170344285,26805.7234276641,5664.24865838975,5916.09165644226,4907.18327218251,3124.25625047393,1984.73654487342,1978.45547223019
P07257,QCR2,153520.294015691,147456.883140464,153647.265377582,164832.999780158,170435.445780495,172757.27195385,211008.186040281,210149.239644111,207243.142421721,234505.878152436,266293.438851976,277979.569950635,162150.907333524,246045.004220484,230866.867195185,255948.22029585,261985.379644483,262842.192525011,267563.699827834,311390.818905059,277489.931127455,292417.623485887,294483.203087988,271475.97784464,240526.078892706,181954.714933952,248368.920410427
P07262,GDH1,74034.2210324178,66013.4907781948,79496.0710779851,112224.483569354,136269.940479397,123326.319004234,280286.690456435,309267.463783741,277943.385245103,351363.697733873,406947.074095806,437897.791403739,277503.898173561,421389.787158033,394561.308408239,415489.729244627,418362.627438075,411134.840453277,384408.799879124,373510.603459255,400038.3473471,385215.146834906,382393.76742426,370336.437617048,348484.60335637,284455.045145472,423031.157897732
P12709,PGI1,225110.907920706,219658.49385434,215106.426525871,220411.241584969,212988.991209809,204047.680200007,189447.535563631,193906.16433895,180126.352514974,168374.270587162,182475.945213438,206078.848642099,104125.694510494,140552.181275898,138231.727883748,134677.769554084,134763.096029811,142007.358316653,144032.081109591,146869.878229025,143195.185841425,142344.275111243,139130.914350963,133917.097057537,119946.973393611,93098.9225212538,144222.858177068
P20447,DBP3,4014.49879838216,4073.5645971356,4280.32152866752,4151.84966905441,4660.66972591261,4226.49000874688,6799.63802642839,7375.85179525401,6316.34235142423,8146.43567678499,8939.24046243012,9755.68776432185,6945.13215524646,10680.2551508253,9376.24996302788,11249.8083738758,11741.6677297186,11810.7022449703,12353.2248698959,13400.1277057223,12453.9285333502,14816.5276629629,15250.4853623179,14068.8608051135,14724.6450484418,11503.6453137067,17097.83082335
P21524,RNR1,3334.2718156821,3178.7058285019,3683.49156307501,4635.27704349674,4912.34870473249,4606.24477171143,8135.0531713159,8168.46443226677,7249.21569896952,7912.3042478411,9218.19229391674,10291.3207447518,5749.51599307202,8257.2009623488,8586.92735000409,9107.6115977148,9706.00970810101,9684.35154918525,8965.13294124588,9901.61650150651,8634.47057645752,12076.4598926234,11638.6459929134,11140.766039852,10928.2248735085,9347.19046420862,14474.8802304546
P23254,TKL1,41599.1053467568,39371.1426351474,42513.8056774127,54136.9595925062,55200.5400246961,53267.6738717853,92582.5622545684,98826.554255268,91137.8021703837,103604.975106383,120521.626324291,128566.407629971,77138.6439970855,111231.983944598,110751.76129561,114123.075586517,119015.917179201,119526.635166703,121359.269302316,131039.749988471,124559.720277186,116045.294474577,115559.036036012,110099.036061733,100555.901303697,84914.6256922806,126389.380713449
P32497,NIP1,9714.44574643707,9783.33113502349,10153.3690882352,11442.6293616278,10623.847263243,11038.5834928784,14556.6341564556,14279.7689503107,13424.7667226573,13804.0013927047,16870.4692890802,17742.2441539035,9937.26982791042,14235.4239818702,14593.3605045199,14090.3473882693,14914.6910857383,15647.589785507,15736.9412472456,17250.9899293418,15754.1923848104,16822.7596973423,16722.944658697,15057.8506148204,14678.7607527573,13188.964200941,17956.2687502679
P37898,AAP1,3337.49492730626,3084.61833488197,3446.92694193138,3542.55875172207,3487.12156373754,3724.74627806924,4563.32618091967,4827.05977472387,3930.02115340308,4265.60362111165,4970.72090437555,5325.17507422164,2809.53393971194,3792.07797346497,3947.37106087084,3485.36474261947,3999.86487628811,3856.84932209433,3879.64782687437,4095.7575167816,3872.13210051706,4517.70793717559,4016.11759384483,3940.17198830299,3839.25433331445,2966.48929518055,4402.43936671414
P38431:P38431-2,TIF5,14002.7073407113,14589.8861210706,14431.650598636,14812.6294479714,15971.3882317525,16547.5158702881,20768.6194559173,21340.5909598115,20448.8584229104,23315.9892161098,24978.911215737,26302.8101661733,15550.4331793081,23279.7717366192,22677.4425429508,23888.7700770422,26025.6727498869,24861.0717455264,23960.0917549849,25535.8837807454,24272.7012570433,26625.4900257777,26758.4599391248,26042.0147874075,24521.0720266076,20057.1733578853,30509.0149013618
P39002,FAA3,1909.95111303896,1837.70685467608,2849.45050440816,2508.62471001469,2252.94691670362,2416.59406101596,3683.44272278062,3836.50163584123,2981.20437127632,3801.95951471877,4845.15392006564,5620.08574832445,3019.60280635571,4868.12068039807,4762.22154972913,4178.38829742443,4829.91998053067,4721.00753449898,4141.15581463115,4085.30413554064,3782.06560593355,3966.08040535029,3994.38171201419,3578.96332915282,3480.73587096869,3168.90538639695,4356.42901537085
P43123,QRI1,8374.28774219061,8723.79186098579,8739.92975501634,7030.17314978394,7943.70439378636,7640.85125555109,8263.23784438402,8583.91146872278,7803.6834322566,8423.53657351002,9050.0037704124,9444.54852326957,5423.03885853369,7668.68131470181,7008.02683561841,6704.32636691661,7836.55561727451,6852.68743251583,6529.00111375705,6712.67666100448,6824.78849549543,6279.21309911796,6266.20612562956,5931.98772635723,5442.67784803953,4554.52802418854,6368.21344007531
P43609,RSC8,2966.1441813861,2988.40926075917,3369.8346598149,2954.18709096411,2940.64988922861,3014.34004943458,4232.93127575905,4265.94978711374,3952.60421698717,4445.90928904687,4648.41117743297,4850.83891191139,2957.62735818519,4138.78573026223,4007.99835049571,3941.10327123452,3802.25202153256,4014.68677538175,3848.61401916395,3947.34554391456,4007.84739473249,4092.24979140438,4433.33157241643,4218.30991916889,3872.47622446908,2957.45634347317,4456.35169028289
P53742,NOG2,1230.9246095439,1192.11533078518,1362.83997223187,1439.63200449915,1770.96075362621,1516.26503310977,2731.12510622891,2979.63998235342,2383.47890466924,3306.70777557629,4095.77990355902,4360.37408800903,2588.77311583302,4339.08104671292,3332.29373499677,4777.75249813313,4543.6605874152,4478.48438291048,4537.75362525299,5303.04076562506,4948.99460127148,6130.34440682305,6351.30736326146,6031.88777840111,5761.88204548958,4687.85934396101,7675.762485389
P54113,ADE16,18796.9905098637,18575.413798226,20009.0519779928,18033.1911647663,15947.2788860472,17495.224644985,16956.9246209239,16810.2406433724,17158.3258437945,15809.8048360357,17506.9362251637,17678.0387325451,9522.51093954633,13419.6525407921,13762.4816147572,13608.3509704522,13554.6504962574,13179.6121454504,11982.934838624,12917.2843681849,13295.9694434009,13366.5726308155,12867.3585798998,13018.8032946063,11625.1756550436,10180.7972899435,14252.1800585647
Q04373,PUF6,7282.1898388771,7176.35289385906,7481.13073000254,7033.62715011493,7263.62874475976,7087.31211317954,8871.10470621678,8902.20129403268,8487.67537370369,9062.28897600354,10266.0532508302,11483.1037692647,6728.84012061292,9529.56169600009,9237.92267285279,9781.16343523716,10065.163920865,10256.6539057556,9714.5241871805,9821.44978412579,9983.50287461826,9854.72252083049,9733.05204073078,9742.67702926159,8796.19614082152,7433.91940089968,11041.8714799995
Q05911,ADE13,69629.0981682436,63698.1454872222,66759.753446566,65098.4762030332,68331.201190205,62051.2870379198,88226.4874753735,84889.874295481,79152.2982411304,97414.1626976942,102449.415460547,107624.791522287,66230.8575250988,100576.293421979,89863.6849262952,95585.8763479075,106090.220244853,106024.571891944,113797.275356643,107689.648275112,105151.446183215,99783.2899433189,108244.38914498,96141.3351308479,99214.0184581468,77739.7836304881,121235.737043018
Q08245,ZEO1,142082.418575048,153282.934594662,146164.402510413,150531.799217088,149327.641026914,150697.854282238,159817.68224074,159552.753874988,154663.093345574,155557.270954432,165503.895787418,158435.409712373,94058.3836535013,135439.168792581,119500.97306079,124732.662892299,129768.702816649,122542.594175584,131314.873522922,134515.618960703,121540.298077519,126586.295744622,122407.771951786,104336.353854897,105310.388728101,79596.2121736305,110560.134297217
Q12250,RPN5,22237.5919142055,21796.8824295136,22767.4263239637,21274.1395793564,20532.2109870396,21590.596086303,21013.1195945119,21509.470425595,20659.9277978758,19960.1157642379,22298.719517268,24106.9633435553,12269.4009086463,16147.5136361106,17130.6981508311,15242.1359761007,15938.5777786647,16413.6780984939,15519.5135119312,15007.6406619797,15944.543253637,13528.8530717739,13398.8505708,12956.7530321357,12051.454509238,9790.06580657479,14592.7344074257
P06106,MET17,386356.399213075,372202.267760977,403581.377563968,391720.869879176,417353.551733246,431237.561750539,514869.52265417,544603.905297172,503459.167276326,553592.03967374,621478.086507867,649289.901948603,381521.102868102,566776.411613807,522341.205665756,570088.068151422,599105.801371134,595711.067222709,604699.312865911,616995.306130587,622717.647601047,553307.072946411,555612.018481652,529444.639644401,473647.021971907,359897.889264633,522567.256625119
P07170,ADK1,124163.205987108,122501.071466542,126254.262501803,118237.668863356,122972.29023741,122262.42479397,131362.565743981,133857.254265078,130743.601078956,138349.116094566,145648.626447908,152204.248360668,96367.9793421059,137108.250982328,133074.265020396,147779.736925115,149908.756446344,150725.914630717,166624.342134929,199532.968731058,175418.975844138,192134.929510391,192619.085320331,182229.450587124,164946.232267702,128701.665803983,181739.904679773
P11075,SEC7,1327.60101655959,1155.6524864402,1299.17303143153,1399.10588875269,1391.0466313413,1577.68589976644,1492.54723936584,1780.35735721539,1558.00478173251,1401.64028609404,1727.00184280593,1730.95202094504,936.22947613627,1552.58449133976,746.678105278115,1305.73450451935,1504.96583021469,1445.6726112777,1297.6416348739,1418.16810768972,1365.61731985791,1286.19890336529,1222.58327019483,1065.6229614231,989.170241785125,968.056332303374,1324.14462077647
P12612,TCP1,21630.9323327407,20473.4986132215,20988.2694116968,21290.0662162834,22268.2185575534,22108.1187350156,25509.5319557977,27541.6593419564,24589.4797646853,27186.0518445457,28542.4335994699,31697.072049094,18006.7485364111,25352.3909863333,25384.5351974837,25831.8645210751,26328.6574152807,26936.64975262,25946.0187111289,25887.2827697342,26339.9091547608,27415.5896063867,27666.2758180318,26029.5441052846,24703.7363020125,19539.3007351865,30424.6974050491
P12687,MRP7,2732.03610376017,2752.9528339104,2724.56817847809,2942.51510427544,2889.25932426375,3070.56480082817,5253.16138851611,5496.30245057666,4855.9963096105,5649.20858641584,6666.99609458635,6623.19200135564,3874.06721388286,6075.72959681601,6090.47762127085,7077.85694884683,7013.61774952338,6759.17157696544,7359.01663273123,8239.54733552241,7251.3522322452,7301.50134881621,7650.45459921745,6967.49414181484,6622.99795460919,5246.92011859319,7490.6749204073
P14742,GFA1,37426.8116552391,36503.0483071695,36938.1044297851,35896.305417102,33010.3826182922,33815.0407487981,32625.6524237181,31909.6683301156,31971.1390509828,30971.5659476964,32674.6265519476,35580.546828675,19872.3688489944,24597.6749836557,24088.0813355006,24035.3572425304,22898.5490960513,24411.0919520847,24195.9850872755,24027.2650254887,24276.3581984883,20993.5524811975,21167.2971377998,20096.4247574504,18796.6559726858,13938.0631474426,21435.3510679218
P22579,SIN3,1429.88924573839,1506.15137994136,1540.75781264633,1641.27051099214,1397.20914858939,1484.89364531931,1958.26687269589,2016.76688288674,1952.54602085446,1932.85384751478,1491.1251448249,2822.82155636321,1179.26743558195,1342.69774579248,1737.20829666186,1607.84412123078,1725.94153078788,1597.82383010604,1308.24242764158,1840.99770388557,1656.74667979356,1668.55619910416,1667.05628095534,1577.63537095657,1466.43796733146,948.736864913396,1671.305799358
P26785,RPL16B,113166.672605612,112899.826766574,115206.771114858,121317.07468183,126738.404406923,128340.198074374,168069.913676049,173588.514951833,159678.652690756,182729.43870113,206853.164307082,230722.699118282,129862.673159313,192645.87881211,183077.658113506,211376.390515389,210703.9775504,217019.265966814,206847.342710861,232297.17855646,215226.376560827,247105.27344351,244201.89352034,239441.120956792,224428.88609549,188338.382430538,280785.037850948
P32657,CHD1,252.564293813471,249.632723171758,240.345519325591,298.719647882317,294.565962291329,316.314646476714,383.546001174418,482.142064948688,414.642562641987,460.402320677465,536.122025667431,595.455557563299,301.788055155928,449.455200630889,405.473850686439,466.594545067941,430.833158215887,520.559307618754,420.322026183878,456.67282718349,480.193393669371,377.66195258588,503.675159226071,539.181666022247,411.6453559572,384.400089673141,398.906588887324
P32790,SLA1,2185.00947665967,2098.8242824101,2051.51021590579,2374.70367495943,2097.17807003269,2183.49499324517,2793.40824155587,2865.02170279332,2648.17225722457,2698.23485684801,3043.49878496169,3183.73431587138,1663.10313834962,2373.95272335806,2191.6509289472,2408.7060116633,2334.88519356793,2218.07019179461,2205.57795804285,2290.20538479295,2043.41995684992,2322.93720655249,2200.68130303512,1896.53969218749,1911.2688590274,1694.12188040568,2375.14007331841
P32861,UGP1,32574.531457795,31587.9966563106,30818.2341621693,31110.1862781868,30958.3735538373,30487.160500574,32010.3922582713,33050.0152453265,30595.0259244747,31942.6039587973,33888.7223621352,35167.1515919871,18993.9123601773,26149.1715611135,25053.1760370286,23604.0350302457,24119.9253774705,23168.6819734468,20783.3966950177,22251.1868791242,21275.6344222772,22193.9028963751,22155.9382088358,20014.7965717324,19200.6428425335,14684.4067483589,22123.4361919543
P33322,CBF5,24107.8830268511,24860.0176724478,23165.5709306411,24304.7537087068,23560.2968305715,25304.6684145341,27617.2171581628,30133.4357956236,27853.5710742568,29343.7867883352,33292.8515485046,35452.5351707628,20290.6227575034,30786.9945729983,30266.3971461288,30965.721103896,31139.1734514682,32483.6573161528,33519.1327466752,34137.8219659696,34183.5935962332,36377.7219776578,34906.2679749636,33496.1331278854,32636.7676327646,26748.6389338125,40347.6165596125
P33330,SER1,32868.3943236484,32752.5972427643,32591.2438069947,34552.1260646377,32816.6759887877,32398.6894491174,41394.0479717204,41900.419911488,40482.2077527844,44353.8750160635,47401.1356733798,52042.8557259247,28592.249060226,39173.9835393225,38709.2082088416,40871.8900550099,41556.7065607043,42464.5787204772,45495.227139389,45503.6417046597,45003.4528644899,46514.6462964932,44124.5571811734,44666.2977200672,41886.3692912538,34159.9279965322,56727.3237136123
P36049,EBP2,6343.60125785872,6523.01584173674,6527.02829526898,7296.03318053473,7769.02717484553,6852.49364934648,10106.8472569313,10836.0906099546,9561.2406131221,11427.5769849777,12319.1373203407,12489.0496538174,7711.67261185259,11322.8319340575,10336.6325145103,11286.2906549755,11887.4206830499,11895.8209388641,11811.4576924157,11594.2410540435,12109.0437273834,12665.474522425,11858.0651066839,11451.2035225994,11199.9254547621,9205.64683328595,13828.1410323519
P37292,SHM1,30069.4396555475,30140.7446224741,31936.1069132324,30542.7471202143,31422.4186456738,32360.3733298349,44079.3980992203,43812.3442507324,43426.7119519263,46872.95237227,52138.6633587681,53828.3800043887,32024.1002524012,46491.1564774871,42728.4238695219,45088.2353916844,47638.7520671776,46455.3991865553,42620.9055362776,40908.3692759972,43418.6013924379,40187.7198839405,40285.0154710837,37903.9047077581,34992.8764954653,28445.4533344994,42373.7626026501
P38427,TSL1,7647.56913755077,7764.64158238442,7727.94156009415,9676.30734411383,8458.13280721041,8901.65611338844,9840.96096211058,9555.01499873475,8782.19122789888,7146.06165438556,7935.67628091535,8463.81014105152,3348.42687381907,3707.5217087009,2995.29083856209,2003.93604856646,2030.99907041487,2313.98999670279,1685.32404295836,2621.42210208664,1624.89814737127,2091.7955660928,2313.89141432075,2197.6979215731,1605.75984995741,1107.68191095115,1634.38447906063
P38791,DYS1,10041.2140810124,9643.45580367857,10552.5797787417,9807.31572390711,9903.03733144865,10269.3307276961,14320.111384634,15483.0138403458,13831.4775568053,15620.6557463444,18553.1245631224,18761.0390918411,10950.8579160584,16325.2244008512,14781.4434282523,17033.0049426781,17521.6354737564,18003.1307860779,17872.9949697847,18912.8912654351,18081.0756153409,23090.3194111866,23169.0071243703,23594.7100759606,24425.0172112371,19885.1745870156,32430.1107111874
P39015,STM1,70984.5280712982,73448.4853125155,73898.1896144707,69703.3798897382,72701.5119439656,74365.5892136117,96075.7530033043,98651.8535688445,95425.6660093729,106011.82455327,116034.259671043,119646.4452168,73160.1414758658,110259.746781686,104734.272735044,118260.325117189,123522.057749163,121600.874514696,123924.995046865,138145.723574768,129764.598606274,151544.185698811,149569.303387114,145125.274457542,138156.003551161,113365.385769715,167719.114876305
P39676,YHB1,84091.4683109177,75218.3717253943,85964.7923062872,103152.138418753,116469.285143408,113940.403916712,190227.922841006,187297.622597004,169923.154339449,246761.020106509,269038.993676091,293977.122839727,201098.985946916,303095.597837892,285636.954336396,328810.266712813,328653.453954787,317085.386924184,366177.181214276,399786.091136767,383340.774990949,377693.316932371,391698.133934299,351316.270047963,305231.283526322,232702.31900336,320645.972393984
P40462,TMA108,1524.08291498221,1434.74917506133,1498.57719753463,1395.076257424,1406.60577048577,1233.96945543502,1923.24343516162,1856.55052464578,1757.40073854082,2023.45600066459,2236.34305817788,2387.39274234383,1356.82820017617,1669.97964804457,1774.14042728985,1721.77999459658,1583.92747841387,1945.37291926232,1977.55604001182,1894.01302442498,1935.39432669495,2379.26482252327,2300.97825538232,2114.01698468192,2107.59255275877,1591.82245135054,2485.77107259738
P41939,IDP2,96548.8502257572,94173.5451878488,95843.1920906654,89966.7531224797,89197.8066179811,91746.3131258158,86723.3603478983,90337.8075791455,87868.071318071,86884.9803789337,89104.903404745,94696.7468582876,57365.3477397199,84268.0678017509,78049.3201729553,75995.5919835335,72513.4881620644,75358.8322662948,71120.9657334797,79207.6849933237,74868.9314821742,36900.6953747754,39798.2797929404,31361.6479192598,21759.0457827457,12674.5029002916,11093.5151139003
P43535,GCN20,5832.01712946212,5798.4833898932,5511.75852859616,5541.68989704464,5756.84604424411,5612.96064340454,7880.08615018488,7903.22358313199,7573.5221898273,8659.06961114095,8278.29307109374,9533.71534422126,5528.5357975396,7654.77844686333,7541.38296933002,7283.08149266514,7848.76193574738,8365.60932055883,8274.42862249709,9097.16133995755,8361.77388650589,10456.3967884621,9925.45079941875,9843.30479420984,8540.26170578734,7422.33627809095,11053.2383039936
P43616,DUG1,44114.3481968348,46451.1694335032,47445.660795592,38646.598085114,39897.9374081023,45252.977116941,43514.3478282878,43653.3645707131,41815.261429085,43799.3275445205,47620.2711758083,50850.2214827899,27759.2443108291,39346.6035331643,38060.7182318703,37851.5793515379,40189.6984625962,39235.6614340603,37386.0611330364,41816.1682720618,38375.7496434637,41067.0640293633,40773.250107993,38406.4914968308,34655.5604719249,27386.4896694184,38039.0978036232
P48582,BRO1,2670.95120097922,2852.95571162536,2211.76834996905,2821.5672481816,2978.93566153779,2327.14361371642,2658.37362322748,2694.87644245077,1707.65652289616,2521.45824141794,1938.72223547428,3358.603633409,1695.82189327198,2018.86096588901,1458.46824545082,1813.29803635432,1674.21140556608,1433.45477487092,1701.01408218366,1757.60328279185,1390.81233351488,2489.99895217035,1700.21724719158,1259.32986563662,1433.61421949143,2847.1561223482,1602.31034265195
P52910,ACS2,34247.5951336326,29189.5183769599,34345.0552375796,38577.1297351116,41693.7150319013,41322.6140399965,78952.2763148039,80217.1220980583,74464.0964569772,87272.2070144794,102165.950232754,112023.216357092,64800.7524899467,92004.8820498144,91923.7385759579,89057.3244955963,92315.8980388226,94792.248648716,106108.808694141,125272.288127134,110273.091450849,123999.338591258,123525.963540214,117165.883170262,106067.055849928,85956.5475597963,121712.284209978
P54838,DAK1,20152.9388372106,20684.7897659496,20905.0396580662,19092.4966703137,20109.8177729806,19739.2400434285,19697.7669288737,20048.3221841232,18387.4780683871,18280.5241612834,19614.7658131349,20746.9376348981,11678.7421602607,14869.3462155479,14733.4299516394,13389.7718195664,13513.5267657135,13367.1277721669,12205.2445142521,12453.239315207,12099.6587757335,12471.8971089838,12538.3956079065,12364.7510661006,11564.0344242969,8897.24338823399,13272.447180244
P89105,CTR9,1523.39320408836,1268.06702695873,1173.40166936647,1548.90933464906,1534.25297114134,1136.22909734244,1838.0714848436,1863.46771248118,1772.63965061949,1704.45878749726,1919.36294701826,2207.3398669444,1260.54341532834,1688.47066764744,1653.15199968598,1388.47725909187,1630.10049169261,1972.2528075015,1614.43864600169,1703.9324349081,1588.00216764821,1872.34497052928,1920.8806486796,1632.79294623658,1487.78041271495,1398.12008690436,1943.89827628305
Q01477,UBP3,1004.24020662062,1057.94684689013,1118.63777474272,1048.19934874584,1022.44415666998,1135.53619454778,1427.56002505603,1657.81084883257,1264.14306131964,1512.430920246,1794.73289423165,1858.73738347737,999.117965546976,1465.69189362694,1396.15182156373,1598.16973775906,1638.07622926157,1555.56408511084,1538.77861608484,1816.05036185465,1794.85396548118,2040.060364775,2010.82368729837,2002.69068947931,1853.01539471321,1582.43933923724,2394.40506607223
Q02776,TIM50,5423.86450304818,4849.88448455985,4828.58886846347,6162.16680811862,6305.86642200482,6553.75118879026,11109.1978833227,10656.7173664625,9853.2296618986,11457.1177306076,14236.703068988,14350.3941910487,8633.34621527858,12572.8268982515,12797.9372791564,13456.1164967162,13926.5310023385,13805.5040809344,14357.3068317134,14862.9552506229,14407.315922145,16144.4280812109,15107.949528542,14638.0531040609,14234.6960677508,11927.8234436218,15751.8232523698
Q04660,ERB1,4062.68970787207,3844.61643825772,4006.20574454083,4258.95992075779,4362.14850167702,4331.28886407422,5741.11129835747,6709.62266570471,5390.52976641613,6345.77294066257,7328.7541923999,7289.78898141645,4556.10315595743,6336.9563641097,5954.42186710664,6171.19709017689,6846.90610068313,6548.40608563248,6749.38415266718,6451.65911332381,6415.4260287686,6443.45554262077,6476.15187140449,6652.03016369352,6182.9453939614,5402.31751217832,8040.95440736296
Q04728,ARG7,16235.5700880423,15462.5837053057,17170.3242183103,24393.2547168712,24950.5925684206,25689.1073389866,34104.991419027,34957.5330092491,35825.557555355,31005.0253419166,33642.8259943844,33966.2000689144,14845.551672367,19115.0454366931,18615.9620964329,13127.3784699225,13864.0122977103,13568.9718191316,12193.1673112187,12819.1823847326,12689.4174175938,16263.2494008331,15324.2552020467,15309.6419765263,14910.2305040786,13113.704073141,21322.2290882186
Q07551,YDL124W,70472.7077272058,63588.1406735101,75323.2033346592,67597.1823295045,64067.5614279173,68086.1320045302,51610.136302945,51793.1003853397,53879.7433487438,43277.0823000079,41762.3675666915,44503.1677746974,18157.9267198663,20977.1486642358,20822.9479557694,14822.7367314691,14815.3186889248,14060.5122704567,12817.5890018992,13645.8136293978,12565.5685933989,9951.85490070504,10082.0249773634,8901.17382855071,8002.93065084743,5638.97943383498,8877.85931944158
Q12428,PDH1,48228.4430928633,47745.14216032,47124.7760118844,43143.4696187055,44833.4833223446,43009.7856434478,52793.5175553413,55076.4867664008,49673.8419441048,61631.4802656286,66108.7659519006,74230.8613034221,47073.5039651515,72487.5019812317,68604.2139237341,86244.813282768,90811.2034674159,94588.8744463177,86821.9515359627,62842.8684263294,88060.8133029645,40399.0191940313,39994.6677166166,35940.8797496638,28236.2321524885,21441.9963573487,25560.1316188243
Q12499,NOP58,23972.1892575034,22249.5649228288,23225.3193583167,24516.7452799356,23781.8531876276,23688.4700213502,31349.1250316913,31334.8911515664,30377.7071124203,34384.6114737657,36698.8297594898,37715.1517640702,23506.0891720717,34057.347979697,33666.008301468,36811.7394585748,35917.1386209341,37273.9660250388,38530.6499214213,39675.3409835436,38906.8367678265,42380.5116235826,43321.3462493419,38585.2768389128,39286.9836431066,30907.2130766002,45463.0872594103
Q99287,SEY1,2531.07676014101,2539.91747868079,2828.50249706871,3045.37297963704,2742.89541786391,2826.69097284274,3165.51589346722,3810.20163849131,3158.11642434908,3176.01915596579,3471.11288902362,4666.42086610147,2274.42928059058,2965.78990535171,2305.22705447864,2416.32122599637,2433.36497705076,3145.22549654357,2970.54327634907,2972.74598835352,2760.02240992504,2860.59113427981,2633.6254192629,2399.42310447515,2314.39617601642,2234.45685006477,2571.30521603224
P00331,ADH2,748229.433572828,505010.450478241,906324.970729809,721856.147116819,524084.296130625,605749.78808812,592889.915617583,501848.413092978,734974.111636265,538325.578922571,843210.378543461,819767.711736481,298641.686268326,440871.175947228,606930.100096238,463301.428717745,464734.739063218,407197.835288816,189676.208401184,86999.816178414,185999.02406678,95713.8770754853,93264.0222565579,89713.0221215049,76800.2139258235,49116.5208177872,33586.382454535
P00549,CDC19,346542.362467134,370282.046397309,360609.928561879,368083.027166281,338092.226062814,370964.084854288,319752.958074432,334654.692033179,338471.70378753,292059.984515929,312902.299687292,354606.837929713,156262.31951584,205480.37881599,211003.111920846,197280.929505162,210351.037786512,203026.379444722,209746.906834891,221425.362137593,220289.750955172,224433.291754244,221494.125129818,222021.116328569,212967.077505568,178387.395329844,306326.805296949
P00890,CIT1,164381.794127441,147332.381692014,142013.493245618,169581.705900098,154280.734519488,143645.666038505,189984.074920521,178756.584494079,162294.984698203,199723.926030436,207675.959619131,231282.514348329,147152.990382225,208285.258140796,218453.142947439,266632.886315747,257095.593136866,281128.857335772,337779.463582332,350899.420917113,327239.399962024,299558.461572273,282534.061136215,269574.536608484,219170.835506526,145914.68354861,203622.414574704
P00937,TRP3,8875.44120772555,8483.37843227118,8873.10835213594,11678.8905580527,11682.7742188167,11805.2885039664,19518.546928907,20156.27781051,18970.1995391022,20927.3695329531,21146.9984328318,22488.3197615957,11648.2688555352,16094.616772265,15140.7957770116,13016.5025840248,14705.8622447009,13154.5461215807,13490.6620383627,14024.6994335433,13076.8670496525,14342.062571758,13990.9772926246,12910.2679093141,12868.5122811433,10466.1127263129,15882.1604785256
P04173,LEU2,103263.744343324,100016.440224018,102798.818559868,98557.5634725981,100056.826567642,97246.8325971641,106093.030959454,111423.961455656,107873.184807613,116294.99503811,126253.542420517,133140.984174563,80407.8053909071,119276.32542627,111196.545820005,123122.883517885,129884.904428552,132207.513728162,138640.253370773,137138.628771189,138333.202962195,119611.373571748,120839.302805355,112793.8473942,102940.224871318,79672.7825686025,115401.00337524
P07244,"ADE5,7",31816.0542964435,32962.5332750272,33184.9047061005,39448.7912234877,38896.407339969,38991.8582087602,53600.2746836899,56468.1755141582,49798.926923357,58347.3186108715,63998.8242088787,71490.6250046463,41488.6850286528,60346.658129947,60235.9244846952,63192.9767136715,64986.2408592719,67462.2879176372,67565.0558736734,70244.757139361,68184.9895505505,71633.1219689673,68934.9345240931,70016.3460993966,62222.2570173556,52744.2586782682,84557.8241926817
P07278,BCY1,50096.3632621416,51502.8276708334,52115.4639617624,40274.1482182673,37970.8262234986,43159.7767287206,31269.085205361,32247.973961285,32029.5191234156,29283.3881457402,28733.7646044425,31094.241990454,15976.2565394687,20708.9925161684,21096.0949103395,18207.4946542689,18379.2727950389,18654.9665711758,16842.9899238347,15528.246024943,17094.6440318111,14387.7732365459,14398.5867542354,13629.0639019773,11710.2228839512,8959.25618158164,12143.2931573287
P07284,SES1,43892.4705603344,43475.7712701692,46768.8887835474,39857.0224752447,39196.9506639125,40577.0030520906,43255.1496758007,43078.9572105904,42383.8069223993,46962.4955790266,52656.6363233032,56117.7303077873,33160.9419151828,49946.7090368797,45746.6270273382,51815.0202893666,55706.1346357226,55154.7231909221,57049.9718585654,58293.6899859994,58452.7033030698,58217.6421303141,58514.0509886533,56973.0757966161,51307.8850768841,40592.6992191047,62302.0127465413
